Модель,"Объём памяти, Гб","Диагональ экрана, дюйм",Цвет,Число ядер,"RAM, Гб",SIM,Разрешение экрана,"Основная камера, Мп","Емкость аккумулятора, мА*ч","Цена, руб.","Цена (без скидки), руб."
14 Pro Max,256,6.7,черный,6,,2,2796x1290,48+12+12,,125 999,136 999
13 Pro,1000,6.1,голубой,"6x(1.8 ГГц, 3.2 ГГц)",,1,2532x1170,12+12+12,,126 999,137 999
13 Pro Max,256,6.7,голубой,"6x(1.8 ГГц, 3.2 ГГц)",,1,2778x1284,12+12+12,,126 999,137 999
13 Pro Max,256,6.7,зеленый,"6x(1.8 ГГц, 3.2 ГГц)",,1,2778x1284,12+12+12,,126 999,137 999
13 Pro Max,256,6.7,зеленый,"6x(1.8 ГГц, 3.2 ГГц)",,1,2778x1284,12+12+12,,126 999,137 999
13 Pro Max,256,6.7,золотистый,"6x(1.8 ГГц, 3.2 ГГц)",,1,2778x1284,12+12+12,,126 999,137 999
13 Pro,1000,6.1,серый,"6x(1.8 ГГц, 3.2 ГГц)",,1,2532x1170,12+12+12,,128 299,139 499
13 Pro,1000,6.1,золотистый,"6x(1.8 ГГц, 3.2 ГГц)",,1,2532x1170,12+12+12,,128 799,139 999
13 Pro,1000,6.1,серебристый,"6x(1.8 ГГц, 3.2 ГГц)",,1,2532x1170,12+12+12,,128 799,139 999
13 Pro Max,512,6.7,серебристый,"6x(1.8 ГГц, 3.2 ГГц)",,1,2778x1284,12+12+12,,132 499,143 999
13 Pro Max,512,6.7,голубой,"6x(1.8 ГГц, 3.2 ГГц)",,1,2778x1284,12+12+12,,135 699,147 499
13 Pro Max,512,6.7,зеленый,"6x(1.8 ГГц, 3.2 ГГц)",,1,2778x1284,12+12+12,,135 699,147 499
13 Pro Max,512,6.7,золотистый,"6x(1.8 ГГц, 3.2 ГГц)",,1,2778x1284,12+12+12,,135 699,147 499
13 Pro Max,512,6.7,серый,"6x(1.8 ГГц, 3.2 ГГц)",,1,2778x1284,12+12+12,,135 699,147 499
14 Pro,512,6.1,золотистый,6,,,2556x1179,48+12+12,,140 799,152 999
14 Pro,512,6.1,серебристый,6,,,2556x1179,48+12+12,,140 799,152 999
14 Pro,512,6.1,фиолетовый,6,,,2556x1179,48+12+12,,140 799,152 999
14 Pro,512,6.1,черный,6,,,2556x1179,48+12+12,,140 799,152 999
13 Pro Max,1000,6.7,золотистый,"6x(1.8 ГГц, 3.2 ГГц)",,1,2778x1284,12+12+12,,142 599,154 999
13 Pro Max,1000,6.7,серебристый,"6x(1.8 ГГц, 3.2 ГГц)",,1,2778x1284,12+12+12,,142 599,154 999
13 Pro Max,1000,6.7,серый,"6x(1.8 ГГц, 3.2 ГГц)",,1,2778x1284,12+12+12,,142 599,154 999
13 Pro Max,1000,6.7,зеленый,"6x(1.8 ГГц, 3.2 ГГц)",,1,2778x1284,12+12+12,,145 399,157 999
14 Pro,1000,6.1,золотистый,6,,,2556x1179,48+12+12,,156 399,169 999
14 Pro,1000,6.1,серебристый,6,,,2556x1179,48+12+12,,156 399,169 999
14 Pro,1000,6.1,фиолетовый,6,,,2556x1179,48+12+12,,156 399,169 999
14 Pro Max,1000,6.7,фиолетовый,6,,1,2796x1290,48+12+12,,169 299,183 999
14 Pro Max,1000,6.7,фиолетовый,6,,2,2796x1290,48+12+12,,169 299,183 999
